"","start_station","n","start_lat","start_lng"
"303","Cummins at American Legion",67,42.278811581566,-71.1168770306267
"304","Curtis Hall - South St at Centre St",26615,42.3090706190769,-71.1153985824812
"305","Curtis Hall at South Street",4479,42.309054,-71.11543
"306","Cypress St at Clark Playground",16600,42.3277051763634,-71.1251647876029
"307","Damrell St at Old Colony",8052,42.3324014598039,-71.054500143652
"308","Damrell St at Old Colony Ave",879,42.33243224033,-71.054673249264
"309","Damrell st at Old Colony Ave",6,42.3324565005,-71.054355581
"310","Dana Park",112926,42.3618229121034,-71.1080665739479
"311","Danehy Park",34289,42.388970214055,-71.1327979375383
"312","Danehy Park at New Street",14297,42.3895692933491,-71.1391528041998
"313","Dartmouth St at Newbury St",101076,42.3509180555586,-71.0780874325208
"314","Davis Square",138290,42.3971613687331,-71.1231783833183
"315","Day Boulevard",2996,42.336448,-71.023739
"316","Day Sq",6567,42.3792001649497,-71.0278056958234
"317","Deerfield St at Commonwealth Ave",133894,42.3493461664001,-71.0973729618361
"318","Deerfield St at Commonwealth Ave (former)",1289,42.3492056897707,-71.0972706304165
"319","Derby Street",2448,42.5200832723321,-70.8914731716485
"320","Discovery Park - 30 Acorn Park Drive",20509,42.3979243935677,-71.1479319301833
"321","Dorchester Ave at Gillette Park",34542,42.3440731871329,-71.0574486254153
"322","Dorchester Ave at King St",3227,42.2917193674076,-71.0626364934907
"323","Dorchester Ave at Savin Hill Ave",634,42.3123509677534,-71.0573610928493
"324","Dorchester Ave. at Gillette Park",6829,42.344023,-71.057054
"325","Dudley Square",3105,42.328654,-71.084198
"326","Dudley Square - Bolling Building",16939,42.3298338260767,-71.083785738756
"327","Dudley Square - Dudley St at Warren St",5247,42.328776474209,-71.0841205061405
"328","Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave",11068,42.3252458827324,-71.0753826179655
"329","E Cottage St at Columbia Rd",20762,42.3206924606604,-71.0621862297258
"330","E. Cottage St at Columbia Rd",1750,42.320561,-71.06198
"331","EBNHC - 20 Maverick Sq",88,42.369562869377,-71.0394269227981
"332","EF - North Point Park",100374,42.3699501242501,-71.0701672848985
"333","East Boston Neighborhood Health Center - 20 Maverick Square",18979,42.3695553809797,-71.0394220186242
"334","East Somerville Library (Broadway and Illinois)",19964,42.387641977779,-71.0831616826495
"335","Edgerly Education Center",24322,42.3871314308864,-71.0871173397339
"336","Edwards Playground - Main St at Eden St",32001,42.379088749444,-71.0686895004377
"337","Edwards Playground - Main Street & Eden Street",3422,42.378965,-71.068607
"338","Egleston Square - Atherton St at Washington St",15394,42.3158054465143,-71.0986745504029
"339","Egleston Square at Columbus Ave",2166,42.315692,-71.098634
"340","Elevate at One Leighton",19621,42.3698725320864,-71.0738045019416
"341","Eliot Circle Revere Beach",2000,42.4030267062647,-70.9900164887059
"342","Elm St at White St",44713,42.3893609002076,-71.1167164609859
"343","Elm St at White St (Temporary Winter Location)",2,42.3833895116315,-71.1073244748673
"344","Elm and White Street (Temporary Winter Location)",9,42.3833401332105,-71.1072683316224
"345","Encore",10671,42.3934581884714,-71.0727796628019
"346","Essex St at Dalton Parkway",1151,42.5162296487273,-70.9055349099545
"347","Everett Square (Broadway at Chelsea St)",3481,42.4072663406647,-71.0555747134166
"348","Everett Square (Broadway at Norwood St)",2954,42.4071882619418,-71.0555259011739
"349","Fairmount St at Washington St",15,42.2811848755114,-71.0712006356536
"350","Fan Pier",62228,42.3533282020927,-71.0444521295324
"351","Faneuil Hall - Union St. at North St.",14978,42.360613,-71.057452
"352","Faneuil St at Arlington St",8119,42.3527797618195,-71.1599052759998
"353","Faneuil St at Arlington St (former)",135,42.3528611,-71.1600278
"354","Faneuil St at Bothwell Rd",1220,42.3532733424583,-71.1594512378333
"355","Faneuil St at Market St",784,42.35484,-71.150226
"356","Farragut Rd at E. 6th St",36633,42.3335477346953,-71.0248631801956
"357","Fenway at Forsyth Way",2733,42.3411030739825,-71.0921098586294
"358","Fenway at Museum Rd",804,42.3392246121579,-71.0966073724737
"359","Ferry St at Pleasantview Ave",199,42.4113859310298,-71.0542737818287
"360","Fields Corner T Stop",9487,42.2997265484195,-71.0606899098706
"361","Flat 9 at Whittier",6699,42.3343196494485,-71.0878744134336
"362","Flint St at Bridge St",1,42.521393,-70.905806
"363","Flint St. at Bridge St.",30,42.521393,-70.905806
"364","Foley St at Grand Union Blvd",20047,42.3930056935294,-71.0810205276534
"365","Forest Hills",44636,42.3009261090364,-71.1143318211489
"366","Forest River Park",1808,42.5063434699167,-70.88684229425
"367","Forsyth St at Huntington Ave",109761,42.3394003595937,-71.090550382987
"368","Foss Park",24541,42.3910536993925,-71.0904259516047
"369","Foss Park 2 (temp for winter)",98,42.3907713735385,-71.0896763738462
"370","Four Corners - 157 Washington St",3350,42.3043105893169,-71.0793887478949
"371","Four Corners/Geneva T Stop",1706,42.3033211605213,-71.0782308954341
"372","Franklin Park - Seaver St at Humboldt Ave",6042,42.3099357117537,-71.0923920288452
"373","Franklin Park - Seaver St at Humbolt Ave",2384,42.309796,-71.092225
"374","Franklin Park - Seaver Street at Humbolt Ave",461,42.309796,-71.092225
"375","Franklin Park Zoo",484,42.303469,-71.085347
"376","Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave",8701,42.3033486038391,-71.0854842756166
"377","Franklin St at Cambridge St",2546,42.3557210434787,-71.1328500593351
"378","Franklin St. / Arch St.",19778,42.355402,-71.058087
"379","Fresh Pond Reservation",20053,42.3832231060676,-71.1429040102188
"380","Galen St at Watertown St",1198,42.364277366421,-71.1857120650263
"381","Galileo Galilei Way at Fulkerson St/Binney St",23883,42.3663282024891,-71.0885926237426
"382","Galileo Galilei Way at Main Street",60255,42.362936178185,-71.0898021435276
"383","Gallivan Blvd at Adams St",5093,42.2828370826101,-71.0546953697039
"384","Gardner St at Alcorn St",1339,42.3532244344375,-71.1232720201437
"385","Gardner St at Harvard Ave",3654,42.3534973256553,-71.1319850825501
"386","Geiger Gibson Community Health Center",17901,42.3188408717511,-71.0453260788107
